monthyear;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
http://archive.ipu.org//wmn-e/arc/classif010219.htm;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION
http://archive.ipu.org//wmn-e/arc/classif010219.htm;Rank;Country;Lower or single House;Lower or single House;Lower or single House;Lower or single House;Upper House or Senate;Upper House or Senate;Upper House or Senate;Upper House or Senate
http://archive.ipu.org//wmn-e/arc/classif010219.htm;Rank;Country;Elections;Seats*;Women;% W;Elections;Seats*;Women;% W
http://archive.ipu.org//wmn-e/arc/classif010219.htm;1;Rwanda;03.09.2018;80;49;61.3%;26.09.2011;26;10;38.5%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;2;Cuba;11.03.2018;605;322;53.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;3;Bolivia;12.10.2014;130;69;53.1%;12.10.2014;36;17;47.2%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;4;Mexico;01.07.2018;500;241;48.2%;01.07.2018;128;63;49.2%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;5;Sweden;09.09.2018;349;165;47.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;6;Grenada;13.03.2018;15;7;46.7%;27.04.2018;13;4;30.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;7;Namibia;29.11.2014;104;48;46.2%;08.12.2015;42;10;23.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;8;Costa Rica;04.02.2018;57;26;45.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;9;Nicaragua;06.11.2016;92;41;44.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;10;South Africa 1;07.05.2014;393;168;42.7%;21.05.2014;54;19;35.2%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;11;Senegal;30.07.2017;165;69;41.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;12;Finland;19.04.2015;200;83;41.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;13;Spain;26.06.2016;350;144;41.1%;26.06.2016;266;98;36.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;14;Norway;11.09.2017;169;69;40.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;15;New Zealand;23.09.2017;120;48;40.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Timor-Leste;12.05.2018;65;26;40.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;17;France;11.06.2017;577;229;39.7%;24.09.2017;348;112;32.2%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;18;Mozambique;15.10.2014;250;99;39.6%;---;---;---;---
